RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_Group_26-35,Age_Group_36-45,Age_Group_46-55,Age_Group_56-65,Age_Group_65+,Cluster
88,729,0,1,30,9,0.0,2,1,0,151869.35,0,True,False,False,False,False,1
90,635,1,0,28,3,81623.67,2,1,1,156791.36,0,True,False,False,False,False,1
92,808,0,1,45,7,118626.55,2,1,0,147132.46,0,False,True,False,False,False,1
93,524,0,0,36,10,0.0,2,1,0,109614.57,0,False,True,False,False,False,1
94,769,0,1,29,8,0.0,2,1,1,172290.61,0,True,False,False,False,False,1
95,730,2,1,42,4,0.0,2,0,1,85982.47,0,False,True,False,False,False,0
96,515,2,1,35,10,176273.95,1,0,1,121277.78,0,True,False,False,False,False,0
97,773,2,1,41,9,102827.44,1,0,1,64595.25,0,False,True,False,False,False,0
98,814,1,1,29,8,97086.4,2,1,1,197276.13,0,True,False,False,False,False,1
99,710,2,1,22,8,0.0,2,0,0,99645.04,0,False,False,False,False,False,0
100,413,0,1,34,9,0.0,2,0,0,6534.18,0,True,False,False,False,False,0
101,665,0,0,40,6,0.0,1,1,1,161848.03,0,False,True,False,False,False,2
102,623,0,0,44,6,0.0,2,0,0,167162.43,0,False,True,False,False,False,0
103,738,0,1,31,9,82674.15,1,1,0,41970.72,0,True,False,False,False,False,2
104,528,2,1,36,7,0.0,2,1,0,60536.56,0,False,True,False,False,False,1
107,582,1,1,32,1,88938.62,1,1,1,10054.53,0,True,False,False,False,False,2
108,785,1,0,36,2,99806.85,1,0,1,36976.52,0,False,True,False,False,False,0
109,605,2,1,33,5,150092.8,1,0,0,71862.79,0,True,False,False,False,False,0
111,685,1,1,30,3,90536.81,1,0,1,63082.88,0,True,False,False,False,False,0
112,538,1,1,39,7,108055.1,2,1,0,27231.26,0,False,True,False,False,False,1
113,562,0,1,42,2,100238.35,1,0,0,86797.41,0,False,True,False,False,False,0
114,675,2,1,36,9,106190.55,1,0,1,22994.32,0,False,True,False,False,False,0
116,628,1,0,30,9,132351.29,2,1,1,74169.13,0,True,False,False,False,False,1
117,668,1,0,37,6,167864.4,1,1,0,115638.29,0,False,True,False,False,False,2
118,506,0,0,41,1,0.0,2,1,0,31766.3,0,False,True,False,False,False,1
120,699,1,1,34,4,185173.81,2,1,0,120834.48,0,True,False,False,False,False,1
121,828,0,1,34,8,129433.34,2,0,0,38131.77,0,True,False,False,False,False,0
122,674,2,1,39,6,120193.42,1,0,0,100130.95,0,False,True,False,False,False,0
123,656,0,0,39,6,0.0,2,1,0,141069.88,0,False,True,False,False,False,1
124,684,1,0,48,10,126384.42,1,1,1,198129.36,0,False,False,True,False,False,2
125,625,0,0,28,3,0.0,1,0,0,183646.41,0,True,False,False,False,False,0
129,828,0,0,41,7,0.0,2,1,0,171378.77,0,False,True,False,False,False,1
130,770,0,1,24,9,101827.07,1,1,0,167256.35,0,False,False,False,False,False,2
131,758,0,0,34,3,0.0,2,1,1,124226.16,0,True,False,False,False,False,1
132,795,1,0,33,9,130862.43,1,1,1,114935.21,0,True,False,False,False,False,2
133,687,0,1,38,9,122570.87,1,1,1,35608.88,0,False,True,False,False,False,2
134,686,0,1,25,1,0.0,2,0,1,16459.37,0,False,False,False,False,False,0
135,789,1,1,39,7,124828.46,2,1,1,124411.08,0,False,True,False,False,False,1
136,589,1,0,50,5,144895.05,2,1,1,34941.23,0,False,False,True,False,False,1
137,461,1,0,34,5,63663.93,1,0,1,167784.28,0,True,False,False,False,False,0
138,637,0,1,40,2,133463.1,1,0,1,93165.34,0,False,True,False,False,False,0
141,756,1,1,44,10,137452.09,1,1,0,189543.9,0,False,True,False,False,False,2
142,663,0,1,34,7,0.0,2,1,1,180427.24,0,True,False,False,False,False,1
143,682,0,0,43,5,125851.93,1,1,1,193318.33,0,False,True,False,False,False,2
146,485,2,0,21,5,113157.22,1,1,1,54141.5,0,False,False,False,False,False,2
147,635,2,0,29,8,138296.94,2,1,0,141075.51,0,True,False,False,False,False,1
148,650,0,1,37,5,106967.18,1,0,0,24495.03,0,False,True,False,False,False,0
149,735,0,1,44,9,120681.63,1,1,0,74836.34,0,False,True,False,False,False,2
150,416,0,1,32,0,0.0,2,0,1,878.87,0,True,False,False,False,False,0
151,754,2,0,32,7,0.0,2,1,0,89520.75,0,True,False,False,False,False,1
153,716,2,1,42,8,0.0,2,1,0,180800.42,0,False,True,False,False,False,1
154,539,0,1,37,2,127609.59,1,1,0,98646.22,0,False,True,False,False,False,2
155,614,0,0,43,6,0.0,2,1,1,109041.53,0,False,True,False,False,False,1
157,758,0,0,33,7,0.0,2,0,0,82996.47,0,True,False,False,False,False,0
158,586,2,0,28,2,0.0,2,1,1,92067.35,0,True,False,False,False,False,1
160,631,1,0,33,4,123246.7,1,0,0,112687.57,0,True,False,False,False,False,0
161,717,2,0,22,6,101060.25,1,0,1,84699.56,0,False,False,False,False,False,0
162,684,0,1,30,2,0.0,2,1,0,83473.82,0,True,False,False,False,False,1
163,800,0,0,49,7,108007.36,1,0,0,47125.11,0,False,False,True,False,False,0
164,721,2,0,36,2,0.0,2,1,1,106977.8,0,False,True,False,False,False,1
166,660,1,1,31,9,125189.75,2,1,1,139874.43,0,True,False,False,False,False,1
168,615,2,0,41,9,109013.23,1,1,0,196499.96,0,False,True,False,False,False,2
170,682,1,1,24,9,57929.81,2,0,0,53134.3,0,False,False,False,False,False,0
171,484,0,0,29,4,130114.39,1,1,0,164017.89,0,True,False,False,False,False,2
172,628,1,1,27,5,95826.49,2,1,0,155996.96,0,True,False,False,False,False,1
174,578,0,1,30,4,169462.09,1,1,0,112187.11,0,True,False,False,False,False,2
175,512,0,1,40,5,0.0,2,1,1,146457.83,0,False,True,False,False,False,1
176,484,2,0,35,7,133868.21,1,1,1,27286.1,0,True,False,False,False,False,2
177,510,0,0,30,0,0.0,2,1,1,130553.47,0,True,False,False,False,False,1
178,606,1,1,36,5,190479.48,2,0,0,179351.89,0,False,True,False,False,False,0
179,597,2,0,40,8,101993.12,1,0,1,94774.12,0,False,True,False,False,False,0
181,850,2,0,45,2,122311.21,1,1,1,19482.5,0,False,True,False,False,False,2
183,778,1,0,45,1,162150.42,2,1,0,174531.27,0,False,True,False,False,False,1
184,636,0,1,42,2,0.0,2,1,1,55470.78,0,False,True,False,False,False,1
186,514,0,1,32,8,0.0,2,1,0,95857.18,0,True,False,False,False,False,1
187,730,0,0,39,1,99010.67,1,1,0,194945.8,0,False,True,False,False,False,2
188,525,2,0,37,0,0.0,1,0,1,131521.72,0,False,True,False,False,False,0
189,616,2,1,30,5,0.0,2,0,1,196108.51,0,True,False,False,False,False,0
190,687,1,0,34,7,111388.18,2,1,0,148564.76,0,True,False,False,False,False,1
192,512,0,0,36,3,84327.77,2,1,0,17675.36,0,False,True,False,False,False,1
193,479,0,1,40,1,0.0,2,0,0,114996.43,0,False,True,False,False,False,0
194,601,0,1,32,8,93012.89,1,1,0,86957.42,0,True,False,False,False,False,2
195,580,2,1,29,9,61710.44,2,1,0,128077.8,0,True,False,False,False,False,1
196,807,0,1,35,3,174790.15,1,1,1,600.36,0,True,False,False,False,False,2
197,616,2,0,32,6,0.0,2,1,1,43001.46,0,True,False,False,False,False,1
198,721,1,1,37,3,107720.64,1,1,1,158591.12,0,False,True,False,False,False,2
200,521,0,1,35,6,96423.84,1,1,0,10488.44,0,True,False,False,False,False,2
201,850,2,1,30,2,141040.01,1,1,1,5978.2,0,True,False,False,False,False,2
202,759,0,1,42,4,105420.18,1,0,1,121409.06,0,False,True,False,False,False,0
205,512,2,1,33,3,176666.62,1,1,0,94670.77,0,True,False,False,False,False,2
206,550,0,1,37,3,0.0,1,1,1,179670.31,0,False,True,False,False,False,2
208,618,0,1,34,5,134954.53,1,1,1,151954.39,0,True,False,False,False,False,2
210,671,0,1,45,2,106376.85,1,0,1,158264.62,0,False,True,False,False,False,0
211,689,1,1,33,2,161814.64,2,1,0,169381.9,0,True,False,False,False,False,1
212,603,0,1,31,8,0.0,2,1,1,169915.02,0,True,False,False,False,False,1
213,620,0,0,41,9,0.0,2,0,0,88852.47,0,False,True,False,False,False,0
214,676,0,0,34,1,63095.01,1,1,1,40645.81,0,True,False,False,False,False,2
215,572,1,1,26,4,118287.01,2,0,0,60427.3,0,True,False,False,False,False,0
217,695,0,1,46,7,49512.55,1,1,0,133007.34,0,False,False,True,False,False,2
218,730,2,0,33,9,0.0,2,0,0,176576.62,0,True,False,False,False,False,0
221,726,0,0,31,9,114722.05,2,1,1,98178.57,0,True,False,False,False,False,1
222,514,2,1,30,7,0.0,1,0,1,125010.24,0,True,False,False,False,False,0
223,567,0,1,42,2,0.0,2,1,1,167984.61,0,False,True,False,False,False,1
226,670,0,1,37,4,170557.91,2,1,0,198252.88,0,False,True,False,False,False,1
227,694,0,0,30,9,0.0,2,1,1,26960.31,0,True,False,False,False,False,1
230,594,1,0,29,3,130830.22,1,1,0,61048.53,0,True,False,False,False,False,2
232,610,0,1,40,0,0.0,2,1,0,62232.6,0,False,True,False,False,False,1
233,512,0,0,37,1,0.0,2,0,1,156105.03,0,False,True,False,False,False,0
234,767,1,1,20,3,119714.25,2,0,1,150135.38,0,False,False,False,False,False,0
237,712,0,0,29,2,0.0,1,1,1,144375.0,0,True,False,False,False,False,2
240,703,0,1,28,2,81173.83,2,0,1,162812.16,0,True,False,False,False,False,0
241,662,2,1,38,4,0.0,2,1,0,136259.65,0,False,True,False,False,False,1
242,725,1,0,39,5,116803.8,1,1,0,124052.97,0,False,True,False,False,False,2
243,703,0,1,37,8,105961.68,2,0,1,74158.8,0,False,True,False,False,False,0
245,523,2,1,34,7,0.0,2,1,0,62030.06,0,True,False,False,False,False,1
247,772,1,1,26,7,152400.51,2,1,0,79414.0,0,True,False,False,False,False,1
248,545,0,0,26,1,0.0,2,1,1,199638.56,0,True,False,False,False,False,1
249,634,1,1,24,8,103097.85,1,1,1,157577.29,0,False,False,False,False,False,2
251,771,1,0,36,5,77846.9,1,0,0,99805.99,0,False,True,False,False,False,0
252,587,2,0,34,1,0.0,2,1,1,97932.68,0,True,False,False,False,False,1
254,544,1,1,37,2,79731.91,1,1,1,57558.95,0,False,True,False,False,False,2
255,696,2,1,28,8,0.0,1,0,0,176713.47,0,True,False,False,False,False,0
256,766,2,1,41,0,0.0,2,0,1,34283.23,0,False,True,False,False,False,0
257,727,0,1,34,10,0.0,2,1,1,198637.34,0,True,False,False,False,False,1
258,671,1,0,34,6,37266.67,2,0,0,156917.12,0,True,False,False,False,False,0
259,693,0,0,30,6,127992.25,1,1,1,50457.2,0,True,False,False,False,False,2
260,850,1,1,38,3,54901.01,1,1,1,140075.55,0,False,True,False,False,False,2
261,732,1,1,42,9,108748.08,2,1,1,65323.11,0,False,True,False,False,False,1
262,726,2,0,48,6,99906.19,1,1,0,64323.24,0,False,False,True,False,False,2
263,557,0,0,32,6,184686.41,2,1,0,14956.44,0,True,False,False,False,False,1
264,682,0,0,26,0,110654.02,1,0,1,111879.21,0,True,False,False,False,False,0
265,738,2,1,31,9,79019.8,1,1,1,18606.23,0,True,False,False,False,False,2
266,531,2,0,36,9,99240.51,1,1,0,123137.01,0,False,True,False,False,False,2
267,498,0,1,34,2,0.0,2,1,1,148528.24,0,True,False,False,False,False,1
268,651,0,1,36,7,0.0,2,1,0,13898.31,0,False,True,False,False,False,1
270,791,1,0,35,7,52436.2,1,1,0,161051.75,0,True,False,False,False,False,2
271,650,2,1,41,9,0.0,2,0,1,191599.67,0,False,True,False,False,False,0
273,811,1,0,34,1,149297.19,2,1,1,186339.74,0,True,False,False,False,False,1
274,707,0,1,30,8,0.0,2,1,0,33159.37,0,True,False,False,False,False,1
275,712,1,1,28,4,145605.44,1,0,1,93883.53,0,True,False,False,False,False,0
276,706,2,0,37,7,0.0,2,1,1,110899.3,0,False,True,False,False,False,1
278,777,0,0,53,10,0.0,2,1,0,189992.97,0,False,False,True,False,False,1
279,646,0,1,35,6,84026.86,1,0,1,164255.69,0,True,False,False,False,False,0
281,782,0,1,39,8,0.0,2,1,1,33949.67,0,False,True,False,False,False,1
282,775,2,1,29,10,0.0,2,1,1,68143.93,0,True,False,False,False,False,1
284,807,0,1,42,7,118274.71,1,1,1,25885.72,0,False,True,False,False,False,2
285,799,0,0,22,8,174185.98,2,0,1,192633.85,0,False,False,False,False,False,0
286,675,0,1,40,7,113208.86,2,1,0,34577.36,0,False,True,False,False,False,1
287,602,2,1,29,5,103907.28,1,1,0,161229.84,0,True,False,False,False,False,2
288,475,0,0,32,8,119023.28,1,1,0,100816.29,0,True,False,False,False,False,2
289,744,2,0,26,5,166297.89,1,1,1,181694.44,0,True,False,False,False,False,2
290,588,2,1,34,10,0.0,2,1,0,79078.91,0,True,False,False,False,False,1
291,703,1,1,42,9,63227.0,1,0,1,137316.32,0,False,True,False,False,False,0
292,747,2,0,41,5,94521.17,2,1,0,194926.86,0,False,True,False,False,False,1
293,583,0,1,27,7,0.0,2,1,0,51285.49,0,True,False,False,False,False,1
295,681,0,1,38,3,0.0,2,1,1,112491.96,0,False,True,False,False,False,1
296,773,0,1,25,2,135903.33,1,1,0,73656.38,0,False,False,False,False,False,2
297,714,0,0,31,4,125169.26,1,1,1,106636.89,0,True,False,False,False,False,2
300,627,0,1,33,5,0.0,2,1,1,103737.82,0,True,False,False,False,False,1
301,694,0,0,31,10,0.0,2,1,0,160990.27,0,True,False,False,False,False,1
302,616,2,0,36,6,132311.71,1,0,0,15462.84,0,False,True,False,False,False,0
303,687,0,1,35,8,0.0,2,1,0,10334.05,0,True,False,False,False,False,1
304,712,0,0,33,6,0.0,2,1,1,190686.16,0,True,False,False,False,False,1
305,553,0,1,33,4,118082.89,1,0,0,94440.45,0,True,False,False,False,False,0
306,667,0,1,31,1,119266.69,1,1,1,28257.63,0,True,False,False,False,False,2
308,629,1,1,35,7,156847.29,2,1,0,31824.29,0,True,False,False,False,False,1
310,438,1,1,31,8,78398.69,1,1,0,44937.01,0,True,False,False,False,False,2
312,729,1,1,30,6,63669.42,1,1,0,145111.37,0,True,False,False,False,False,2
313,642,0,1,38,3,0.0,2,0,0,171463.83,0,False,True,False,False,False,0
315,744,2,1,36,2,153804.44,1,1,1,87213.33,0,False,True,False,False,False,2
316,474,2,1,37,3,0.0,2,0,0,57175.32,0,False,True,False,False,False,0
318,706,2,1,42,9,0.0,2,1,1,28714.34,0,False,True,False,False,False,1
319,628,2,0,22,3,0.0,1,1,0,85426.28,0,False,False,False,False,False,2
320,429,0,1,24,4,95741.75,1,1,0,46170.75,0,False,False,False,False,False,2
322,680,0,0,30,8,141441.75,1,1,1,16278.97,0,True,False,False,False,False,2
324,763,0,0,31,4,0.0,2,0,0,50404.72,0,True,False,False,False,False,0
325,734,0,1,30,3,0.0,2,1,0,107640.25,0,True,False,False,False,False,1
326,716,0,1,35,4,144428.87,1,1,0,134132.65,0,True,False,False,False,False,2
327,594,0,1,35,2,0.0,2,1,0,103480.69,0,True,False,False,False,False,1
329,671,1,1,35,1,144848.74,1,1,1,179012.3,0,True,False,False,False,False,2
330,664,1,1,26,7,116244.14,2,1,1,95145.14,0,True,False,False,False,False,1
331,656,0,1,50,7,0.0,2,0,1,72143.44,0,False,False,True,False,False,0
332,667,2,0,40,1,146502.07,1,1,0,19162.89,0,False,True,False,False,False,2
333,663,1,1,44,2,117028.6,2,0,1,144680.18,0,False,True,False,False,False,0
335,626,2,0,37,6,108269.37,1,1,0,5597.94,0,False,True,False,False,False,2
337,659,1,0,32,3,150923.74,2,0,1,174652.51,0,True,False,False,False,False,0
338,649,0,1,33,2,0.0,2,1,0,2010.98,0,True,False,False,False,False,1
342,659,0,1,31,4,118342.26,1,0,0,161574.19,0,True,False,False,False,False,0
343,545,2,0,47,5,0.0,2,1,1,38970.14,0,False,False,True,False,False,1
344,543,0,1,22,8,0.0,2,0,0,127587.22,0,False,False,False,False,False,0
345,718,0,0,25,7,0.0,2,1,0,30380.12,0,False,False,False,False,False,1
346,840,0,0,43,7,0.0,2,1,0,90908.95,0,False,True,False,False,False,1
347,630,1,0,34,9,106937.05,2,1,0,138275.01,0,True,False,False,False,False,1
349,654,1,0,32,1,114510.85,1,1,1,126143.23,0,True,False,False,False,False,2
350,582,0,1,39,5,0.0,2,1,1,129892.93,0,False,True,False,False,False,1
351,659,2,1,32,3,107594.11,2,1,1,102416.84,0,True,False,False,False,False,1
352,762,2,1,39,2,81273.13,1,1,1,18719.67,0,False,True,False,False,False,2
353,568,2,0,32,7,169399.6,1,1,0,61936.22,0,True,False,False,False,False,2
354,670,2,1,25,6,0.0,2,1,1,78358.94,0,False,False,False,False,False,1
355,613,0,0,45,1,187841.99,2,1,1,147224.27,0,False,True,False,False,False,1
356,539,0,1,30,0,0.0,2,1,0,160979.66,0,True,False,False,False,False,1
359,737,0,1,41,1,101960.74,1,1,1,123547.28,0,False,True,False,False,False,2
361,706,2,1,28,3,0.0,2,0,1,181543.67,0,True,False,False,False,False,0
363,648,0,0,50,9,102535.57,1,1,1,189543.19,0,False,False,True,False,False,2
364,443,1,0,29,9,99027.61,2,1,0,10940.4,0,True,False,False,False,False,1
366,628,2,0,33,3,0.0,1,1,1,188193.25,0,True,False,False,False,False,2
367,540,1,0,42,9,87271.41,2,1,0,172572.64,0,False,True,False,False,False,1
368,460,1,0,35,8,102742.91,2,1,1,189339.6,0,True,False,False,False,False,1
369,636,1,1,34,2,40105.51,2,0,1,53512.16,0,True,False,False,False,False,0
370,593,0,0,29,2,152265.43,1,1,0,34004.44,0,True,False,False,False,False,2
371,801,2,1,42,4,141947.67,1,1,1,10598.29,0,False,True,False,False,False,2
373,611,1,1,31,0,107884.81,2,1,1,183487.98,0,True,False,False,False,False,1
374,802,1,1,31,1,125013.72,1,1,1,187658.09,0,True,False,False,False,False,2
375,717,1,1,35,7,58469.37,2,1,1,172459.39,0,True,False,False,False,False,1
376,769,0,0,39,8,0.0,1,0,1,21016.0,0,False,True,False,False,False,0
378,572,2,1,35,4,152390.26,1,1,0,128123.66,0,True,False,False,False,False,2
379,629,2,0,30,2,34013.63,1,1,0,19570.63,0,True,False,False,False,False,2
381,483,0,0,50,9,0.0,2,1,1,111020.24,0,False,False,True,False,False,1
382,690,0,1,36,7,101583.11,2,1,0,123775.15,0,False,True,False,False,False,1
383,492,1,0,30,10,77168.87,2,0,1,146700.22,0,True,False,False,False,False,0
384,709,1,1,28,8,124695.72,2,1,0,145251.35,0,True,False,False,False,False,1
385,705,1,1,44,3,105934.96,1,1,0,82463.69,0,False,True,False,False,False,2
387,611,2,1,46,6,0.0,2,1,0,45886.33,0,False,False,True,False,False,1
389,709,2,0,45,2,0.0,2,0,1,162922.65,0,False,True,False,False,False,0
390,544,0,0,21,10,161525.96,2,1,0,9262.77,0,False,False,False,False,False,1
391,712,1,0,29,7,147199.07,1,1,1,84932.4,0,True,False,False,False,False,2
392,752,1,1,38,3,183102.29,1,1,1,71557.12,0,False,True,False,False,False,2
395,594,2,0,24,0,97378.54,1,1,1,71405.17,0,False,False,False,False,False,2
396,645,1,0,37,2,136925.09,2,0,1,153400.24,0,False,True,False,False,False,0
397,557,0,1,33,3,54503.55,1,1,1,371.05,0,True,False,False,False,False,2
398,547,1,1,32,8,155726.85,1,1,0,67789.99,0,True,False,False,False,False,2
399,701,0,0,39,9,0.0,2,0,1,145894.9,0,False,True,False,False,False,0
401,605,0,1,52,1,63349.75,1,1,0,108887.44,0,False,False,True,False,False,2
402,593,1,0,38,4,129499.42,1,1,1,154071.27,0,False,True,False,False,False,2
403,751,2,1,52,8,0.0,2,0,1,179291.85,0,False,False,True,False,False,0
404,443,2,1,36,6,70438.01,2,0,1,56937.43,0,False,True,False,False,False,0
405,685,0,1,23,8,0.0,2,1,1,112239.03,0,False,False,False,False,False,1
406,718,0,1,36,9,0.0,1,1,0,45909.87,0,False,True,False,False,False,2
408,611,2,0,37,4,0.0,2,1,0,125696.26,0,False,True,False,False,False,1
409,668,1,1,37,10,152958.29,2,1,1,159585.61,0,False,True,False,False,False,1
410,537,1,0,41,3,138306.34,1,1,0,106761.47,0,False,True,False,False,False,2
411,709,2,1,23,10,0.0,2,0,0,129590.18,0,False,False,False,False,False,0
412,850,0,1,38,1,0.0,2,1,1,80006.65,0,False,True,False,False,False,1
413,745,2,0,31,3,124328.84,1,1,1,140451.52,0,True,False,False,False,False,2
415,795,2,1,35,8,0.0,2,1,0,167155.36,0,True,False,False,False,False,1
416,626,2,1,26,8,0.0,2,0,0,191420.71,0,True,False,False,False,False,0
418,556,0,0,39,9,89588.35,1,1,1,94898.1,0,False,True,False,False,False,2
419,643,0,0,46,6,0.0,2,0,0,106781.59,0,False,False,True,False,False,0
420,605,0,0,28,6,0.0,2,0,0,159508.52,0,True,False,False,False,False,0
422,586,0,0,38,2,0.0,2,1,0,87168.46,0,False,True,False,False,False,1
424,678,0,0,35,4,0.0,1,1,0,125518.32,0,True,False,False,False,False,2
425,596,0,1,39,9,0.0,1,1,0,48963.59,0,False,True,False,False,False,2
426,648,0,1,26,9,162923.85,1,1,0,98368.24,0,True,False,False,False,False,2
427,492,1,1,39,10,124576.65,2,1,0,148584.61,0,False,True,False,False,False,1
428,702,0,1,45,0,80793.58,1,1,1,27474.81,0,False,True,False,False,False,2
429,486,1,0,40,9,71340.09,1,1,0,76192.21,0,False,True,False,False,False,2
432,724,1,1,41,2,127892.57,2,0,1,199645.45,0,False,True,False,False,False,0
433,548,1,0,33,0,101084.36,1,1,0,42749.85,0,True,False,False,False,False,2
435,683,0,1,33,8,0.0,1,0,0,73564.44,0,True,False,False,False,False,0
436,762,0,0,51,3,99286.98,1,0,1,85578.63,0,False,False,True,False,False,0
437,627,1,0,30,4,79871.02,2,1,0,129826.89,0,True,False,False,False,False,1
438,516,0,1,35,10,104088.59,2,0,0,119666.0,0,True,False,False,False,False,0
439,800,0,0,38,2,168190.33,2,1,0,68052.08,0,False,True,False,False,False,1
440,464,1,0,42,3,85679.25,1,1,1,164104.74,0,False,True,False,False,False,2
